UNITID,ENRTOT,FTE,ENRFT,ENRPT,PCTENRWH,PCTENRBK,PCTENRHS,PCTENRAP,PCTENRAS,PCTENRNH,PCTENRAN,PCTENR2M,PCTENRUN,PCTENRNR,PCTENRW,PCTFT1ST,EFUG,EFUG1ST,EFUGTRN,EFUGCNT,EFUGNDG,EFUGFT,EFUG1SFT,EFUGTRFT,EFUGCNFT,EFUGNDFT,EFUGPT,EFUG1SPT,EFUGTRPT,EFUGCNPT,EFUGNDPT,PCUENRWH,PCUENRBK,PCUENRHS,PCUENRAP,PCUENRAS,PCUENRNH,PCUENRAN,PCUENR2M,PCUENRUN,PCUENRNR,PCUENRW,EFGRAD,EFGRADFT,EFGRADPT,PCGENRWH,PCGENRBK,PCGENRHS,PCGENRAP,PCGENRAS,PCGENRNH,PCGENRAN,PCGENR2M,PCGENRUN,PCGENRNR,PCGENRW,DVEF01,DVEF02,DVEF03,DVEF05,DVEF06,DVEF07,DVEF09,DVEF10,DVEF11,DVEF13,DVEF14,DVEF15,DVEF16,RMINSTTN,RMOUSTTN,RMFRGNCN,RMUNKNWN,RMINSTTP,RMOUSTTP,RMFRGNCP,RMUNKNWP,PCTDEEXC,PCTDESOM,PCTDENON,PCUDEEXC,PCUDESOM,PCUDENON,PCGDEEXC,PCGDESOM,PCGDENON
100654,6106,5727,5492,614,3,89,1,0,0,0,0,1,5,1,61,27,5143,1405,155,3430,153,4842,1402,137,3158,145,301,3,18,272,8,2,91,1,0,0,0,0,1,4,1,59,963,650,313,7,76,0,1,1,0,0,1,11,3,71,958,330,628,594,232,362,364,98,266,1,93,6,0,649,734,0,22,46,52,0,2,2,18,80,1,17,81,5,20,76
100663,21923,17165,14220,7703,59,22,3,6,6,0,0,4,1,5,62,16,13836,2299,1437,9450,650,10042,2245,896,6848,53,3794,54,541,2602,597,56,26,3,6,6,0,0,5,1,3,61,8087,4178,3909,63,15,3,6,6,0,0,2,2,9,64,8884,2977,5907,3374,895,2479,5510,2082,3428,3,75,22,0,1917,353,29,0,83,15,1,0,26,32,43,18,43,39,39,12,49
100690,755,473,295,460,28,67,1,1,1,1,1,0,3,0,64,0,351,1,288,62,0,175,1,136,38,0,176,0,152,24,0,24,72,2,1,1,0,1,0,2,0,68,404,120,284,31,62,1,2,1,1,1,0,3,0,60,,,,,,,,,,,,,,1,0,0,0,100,0,0,0,100,0,0,100,0,0,100,0,0
100706,9736,8123,7125,2611,70,10,5,4,4,0,1,3,4,5,44,19,7671,1435,877,5146,213,6393,1428,681,4273,11,1278,7,196,873,202,71,10,5,4,4,0,1,3,3,2,42,2065,732,1333,65,9,3,3,3,0,1,1,6,13,52,2923,1352,1571,1201,730,471,1722,622,1100,3,79,18,0,913,477,28,17,64,33,2,1,7,21,72,2,22,76,22,18,60
100724,4413,4118,3934,479,4,91,1,1,0,0,0,1,1,1,64,26,3903,1038,147,2718,0,3643,1025,136,2482,0,260,13,11,236,0,2,94,1,0,0,0,0,1,1,1,63,510,291,219,21,72,1,1,1,0,0,1,1,4,71,670,325,345,384,237,147,286,88,198,2,90,8,0,602,425,11,0,58,41,1,0,10,7,83,9,6,85,15,10,75
100751,38390,35118,33038,5352,76,11,5,1,1,0,0,3,1,3,56,20,33028,6663,1555,23959,851,29586,6632,1000,21856,98,3442,31,555,2103,753,77,10,5,1,1,0,0,3,0,2,56,5362,3452,1910,67,13,4,1,1,0,0,2,1,10,60,6188,2576,3612,2800,881,1919,3388,1695,1693,3,90,8,0,2271,4259,125,8,34,64,2,0,10,29,61,7,31,62,30,15,56
100760,1681,1057,742,939,75,20,2,1,1,0,0,1,0,0,54,19,1681,372,80,759,470,742,315,45,376,6,939,57,35,383,464,75,20,2,1,1,0,0,1,0,0,54,0,0,0,,,,,,,,,,,,266,266,0,74,74,0,192,192,0,21,63,16,0,363,9,0,0,98,2,0,0,8,31,60,8,31,60,,,
100812,3044,1956,1229,1815,75,14,3,1,1,0,2,2,3,0,68,0,2885,0,797,1935,153,1205,0,471,733,1,1680,0,326,1202,152,76,13,3,1,1,0,1,2,3,0,69,159,24,135,58,31,3,1,1,0,3,4,1,0,60,1914,1758,156,550,527,23,1364,1231,133,0,39,61,0,,,,,,,,,67,25,7,66,27,8,99,0,1
100830,5211,4340,3775,1436,44,40,1,2,2,0,0,5,2,5,66,16,4632,757,515,3257,103,3554,730,401,2416,7,1078,27,114,841,96,45,41,1,2,2,0,0,4,1,5,65,579,221,358,32,34,1,2,2,0,0,15,6,9,67,1404,970,434,607,475,132,797,495,302,2,76,21,0,661,57,37,2,87,8,5,0,12,36,52,8,37,55,41,28,30
100858,30440,27573,25806,4634,76,6,3,2,2,0,0,2,0,10,49,19,24628,4783,1167,18197,481,22460,4744,1058,16434,224,2168,39,109,1763,257,79,5,3,2,2,0,0,2,0,7,48,5812,3346,2466,62,8,3,2,2,0,0,1,0,22,53,4785,1020,3765,2346,610,1736,2439,410,2029,1,95,4,0,2756,1980,47,0,58,41,1,0,5,18,77,1,21,78,21,7,73
100937,1268,1264,1261,7,79,14,2,3,3,0,0,1,0,1,52,26,1268,328,45,892,3,1261,328,45,887,1,7,0,0,5,2,79,14,2,3,3,0,0,1,0,1,52,0,0,0,,,,,,,,,,,,16,16,0,14,14,0,2,2,0,1,98,1,0,204,121,2,1,62,37,1,0,0,0,100,0,0,100,,,
101028,1568,1100,864,704,46,41,6,1,1,0,0,4,2,0,61,21,1568,404,243,799,122,864,329,116,413,6,704,75,127,386,116,46,41,6,1,1,0,0,4,2,0,61,0,0,0,,,,,,,,,,,,535,535,0,208,208,0,327,327,0,6,60,34,0,316,88,0,0,78,22,0,0,4,24,72,4,24,72,,,
101116,390,301,244,146,26,68,2,1,1,1,0,0,2,0,76,2,321,7,64,250,0,244,7,40,197,0,77,0,24,53,0,28,66,2,2,1,1,0,0,2,0,77,69,0,69,17,80,1,0,0,0,1,0,0,0,71,,,,,,,,,,,,,,7,0,0,0,100,0,0,0,0,52,48,0,53,47,0,49,51
101143,1705,1170,899,806,67,21,6,2,1,0,1,3,0,0,51,19,1705,394,158,717,436,899,317,116,438,28,806,77,42,279,408,67,21,6,2,1,0,1,3,0,0,51,0,0,0,,,,,,,,,,,,366,366,0,178,178,0,188,188,0,20,58,21,0,370,16,0,8,94,4,0,2,10,28,62,10,28,62,,,
101161,7419,4779,3444,3975,66,24,3,1,1,0,2,3,1,0,58,19,7419,1691,532,3271,1925,3444,1441,317,1654,32,3975,250,215,1617,1893,66,24,3,1,1,0,2,3,1,0,58,0,0,0,,,,,,,,,,,,1436,1436,0,515,515,0,921,921,0,19,61,19,0,1582,96,0,13,94,6,0,1,11,31,57,11,31,57,,,
101189,3178,2573,2185,993,51,40,2,1,1,0,1,2,2,2,60,10,2428,273,465,1341,349,1585,254,288,1041,2,843,19,177,300,347,49,42,2,1,1,0,0,2,2,2,60,750,600,150,59,33,3,1,1,0,1,1,1,1,61,1627,1037,590,1109,661,448,518,376,142,14,43,43,0,205,62,6,0,75,23,2,0,35,17,48,27,20,53,64,7,30
101240,4736,3117,2299,2437,72,18,4,1,1,0,1,3,0,2,60,18,4736,1077,345,2725,589,2299,865,183,1234,17,2437,212,162,1491,572,72,18,4,1,1,0,1,3,0,2,60,0,0,0,,,,,,,,,,,,1413,1413,0,538,538,0,875,875,0,9,61,30,0,1007,4,14,52,94,0,1,5,16,34,50,16,34,50,,,
101277,83,83,83,0,78,6,16,0,0,0,0,0,0,0,99,42,83,35,0,48,0,83,35,0,48,0,0,0,0,0,0,78,6,16,0,0,0,0,0,0,0,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,35,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
101286,4610,2740,1795,2815,65,27,3,1,1,0,0,2,0,0,66,14,4610,919,250,2577,864,1795,658,105,1012,20,2815,261,145,1565,844,65,27,3,1,1,0,0,2,0,0,66,0,0,0,,,,,,,,,,,,1411,1411,0,472,472,0,939,939,0,16,53,31,0,891,28,0,0,97,3,0,0,8,16,77,8,16,77,,,
101295,5057,3409,2576,2481,84,5,5,1,1,0,1,0,3,1,65,18,5057,1177,396,2996,488,2576,934,216,1332,94,2481,243,180,1664,394,84,5,5,1,1,0,1,0,3,1,65,0,0,0,,,,,,,,,,,,1193,1193,0,431,431,0,762,762,0,7,69,24,0,1158,18,1,0,98,2,0,0,13,31,56,13,31,56,,,
101301,1475,968,712,763,22,74,1,1,1,0,0,1,0,1,62,19,1475,320,50,734,371,712,279,31,376,26,763,41,19,358,345,22,74,1,1,1,0,0,1,0,1,62,0,0,0,,,,,,,,,,,,304,304,0,127,127,0,177,177,0,20,59,21,0,318,0,0,2,99,0,0,1,24,31,45,24,31,45,,,
101365,571,389,271,300,28,60,2,0,0,0,1,3,7,0,79,3,551,39,104,401,7,262,16,34,212,0,289,23,70,189,7,28,60,2,0,0,0,1,3,7,0,79,20,9,11,15,70,0,0,0,0,0,0,15,0,85,,,,,,,,,,,,,,36,1,0,2,92,3,0,5,40,17,43,38,17,45,100,0,0
101435,1081,960,881,200,65,22,6,1,1,0,1,4,2,0,50,23,1081,249,74,755,3,881,248,38,595,0,200,1,36,160,3,65,22,6,1,1,0,1,4,2,0,50,0,0,0,,,,,,,,,,,,182,182,0,31,31,0,151,151,0,0,83,17,0,162,86,0,1,65,35,0,0,0,4,96,0,4,96,,,
101453,78,52,35,43,77,6,5,1,1,0,3,3,0,5,4,8,51,7,3,39,2,26,4,1,21,0,25,3,2,18,2,76,8,8,2,2,0,0,2,0,4,4,27,9,18,78,4,0,0,0,0,7,4,0,7,4,,,,,,,,,,,,,,2,5,0,0,29,71,0,0,49,37,14,51,39,10,44,33,22
101462,831,486,312,519,36,52,3,1,1,0,1,5,1,2,52,9,831,119,136,423,153,312,74,57,180,1,519,45,79,243,152,36,52,3,1,1,0,1,5,1,2,52,0,0,0,,,,,,,,,,,,385,385,0,148,148,0,237,237,0,14,39,46,1,115,1,0,3,97,1,0,3,8,35,57,8,35,57,,,
